Tramp,Lowell Fulsom,,listenccpl,Lowell+Fulsom/_/Tramp
Danger,Erykah Badu,3:35,"neo-soul,rnb,soul",Erykah+Badu/_/Danger
Redneck Games,Jeff Foxworthy With Alan Jackson,3:27,"comedy,stand-up,stand-upcomedy",Jeff+Foxworthy/_/Redneck+Games+-+With+Alan+Jackson
Make It Happen,Mariah Carey,4:59,"pop,90s,soul,rnb,femalevocalists,dance,gospel",Mariah+Carey/_/Make+It+Happen
Le Bel Age (The Best Years),Pat Benatar,4:15,"rock,80s,femalevocalists,classicrock,pop",Pat+Benatar/_/Le+Bel+Age+(The+Best+Years)
Mr. October,Bad Bunny,3:09,"reggaeton,latin,trap,rap",Bad+Bunny/_/MR.+OCTOBER
"Run Away Child, Running Wild",The Temptations,3:39,"soul,motown,funk,oldies","The+Temptations/_/Run+Away+Child,+Running+WIld"
Daytime Night-Time,Keith Hampshire,3:07,canadian,Keith+Hampshire/_/Daytime+Night-Time
Bossa Nova U.S.A.,The Dave Brubeck Quartet,,"jazz,cooljazz,instrumental,live",The+Dave+Brubeck+Quartet/_/Bossa+Nova+U.S.A.
Soulville,Aretha Franklin,2:19,"soul,rock",Aretha+Franklin/_/Soulville
Just For Fun,Beyonce & Willie Jones,3:24,"country,americana,legend,emotional,aoty,soty,moderncountry,williejones,bestof2024,2024",Beyonc%C3%A9/_/JUST+FOR+FUN
Piece Of My Heart,Big Brother And The Holding Company,4:13,"classicrock,60s,bluesrock,janisjoplin,rock",Big+Brother+&+The+Holding+Company/_/Piece+of+My+Heart
Maybe I Deserve,Tank,,"tank,maybeideserve,realrnb",Tank/_/Maybe+I+Deserve
Daughter,Beyonce,3:23,"italianopera,country,soul,baroque",Beyonc%C3%A9/_/DAUGHTER
Too Much Passion,The Smithereens,4:21,"modernrock,my90s",The+Smithereens/_/Too+Much+Passion
Every Little Thing I Do,Soul For Real,4:20,"90s,rnb,newjackswing,soulforreal",Soul+for+Real/_/Every+Little+Thing+I+Do
Cindy's Gonna Cry,Johnny Crawford,2:09,"60s,pop",Johnny+Crawford/_/Cindy%27s+Gonna+Cry
Here Is Gone,Goo Goo Dolls,3:58,"rock,alternativerock,alternative,googoodolls,pop",Goo+Goo+Dolls/_/Here+Is+Gone
"The 2,000 Pound Bee (Part 2)",The Ventures,2:18,"surf,surfrock,instrumental,60s,rock","The+Ventures/_/2,000+Pound+Bee,+Part+2"
Still Fly,Big Tymers,4:21,"rap,hip-hop,hiphop,2002",Big+Tymers/_/Still+Fly
Lay Lady Lay,The Isley Brothers,5:34,"funk,soul","The+Isley+Brothers/_/That+Lady,+Pts.+1+&+2"
I'm Glad,Jennifer Lopez,3:42,"pop,rnb,dance,latin,memories,femalevocalists",Jennifer+Lopez/_/I%27m+Glad
Baby Get It (And Don't Quit It),Jackie Wilson,,"soul,rhythmandblues",Jackie+Wilson/_/Baby+Get+It+(And+Don%27t+Quit+It)
I'm Your Man,Wham!,6:36,"80s,pop,british,1985",Wham!/_/I%27m+Your+Man
Mouth,Merril Bainbridge,3:27,"sexy,90s,pop,femalevocalists",Merril+Bainbridge/_/Mouth
"One Tin Soldier, The Legend of Billy Jack",Coven,3:13,"pop,onehitwonders,myfavoritesongs",Coven/_/One+Tin+Soldier+(The+Legend+of+Billy+Jack)
Spies Like Us,Paul McCartney,4:44,"rock,pop,singer-songwriter,hardrock,dance,uk,punkrock",Paul+McCartney/_/Spies+Like+Us
Turn Off The Light,Nelly Furtado,3:38,"pop,femalevocalists,dance,nellyfurtado",Nelly+Furtado/_/Turn+Off+the+Light
Rich As F**k,Lil Wayne Featuring 2 Chainz,Invalid Information,Invalid Information,Invalid Information
The Cowboy And The Lady,John Denver,,"perquien,amazing,folkpop,pergente",John+Denver/_/The+Cowboy+and+the+Lady
Hi Hi Hazel,Gary And The Hornets,2:30,,Gary+&+The+Hornets/_/Hi+Hi+Hazel
Baby Nueva,Bad Bunny,4:00,"reggaeton,latin,trap,rap",Bad+Bunny/_/BABY+NUEVA
Slop Time,The Sherrys,2:01,"rockandroll,all,spotify",The+Sherrys/_/Slop+Time
Since I Don't Have You,Chuck Jackson,,"soul,northernsoul,rhythmandblues,60s",Chuck+Jackson/_/Since+I+Don%27t+Have+You
Love On My Mind Tonight,The Temptations,4:04,"soul,motown,funk,oldies",The+Temptations/_/Love+On+My+Mind+Tonight
Oceans (Where Feet May Fail),Hillsong UNITED,,"christian,praiseandworship",Hillsong+United/_/Oceans+(Where+Feet+May+Fail)
"Wonderful World, Beautiful People",Jimmy Cliff,3:09,"reggae,ska,rootsreggae,jamaica","Jimmy+Cliff/_/Wonderful+World,+Beautiful+People+-+Single+Version"
Avenging Annie,Roger Daltrey,4:30,"rock,softrock,70s,1977",Roger+Daltrey/_/Avenging+Annie
Ay!,Machine Gun Kelly & Lil Wayne,2:04,"lilwayne,emorap,hip-hop,rap",Machine+Gun+Kelly/_/ay!+(feat.+Lil+Wayne)
If You Wanna Get To Heaven,Ozark Mountain Daredevils,3:43,"southernrock,theozarkmountaindaredevils,countryrock,70s",The+Ozark+Mountain+Daredevils/_/If+You+Wanna+Get+To+Heaven
Climb Every Mountain,Jordan Smith,3:10,"pop,usa",Jordan+Smith/_/Climb+Every+Mountain+-+The+Voice+Performance
"Working My Way Back To You/Forgive Me, Girl",The Spinners,6:01,"1979,classictrack","The+Spinners/_/Working+My+Way+Back+to+You+%2F+Forgive+Me,+Girl"
Don't Pull Your Love/then You Can Tell Me Goodbye,Glen Campbell,3:18,"country,70s,1976,cover",Glen+Campbell/_/Don%27t+Pull+Your+Love%2FThen+You+Can+Tell+Me+Goodbye
Test Of Time,The Romantics,3:34,"newwave,80s,powerpop,rock,pop",The+Romantics/_/Test+Of+Time
